# FEs,APMTO,MFEA,MFEA-DGD,AEMTO,MKTDE,OTMTO,BLKT-DE
0,14562668.5441105,11350983.4361358,12065361.1345993,14624467.5664232,13207832.3172648,14624467.5664232,11298190.3179566
2,30129.8922195935,132321.165786315,30540.8911406758,4046411.71245,318506.612346952,1360757.629552,1504419.6202253
4,2628.79259363558,33650.0736197129,23266.5598716153,2144028.885079,76997.489460083,321365.692092,592510.422780591
6,1726.42660893594,11930.160898747,20072.9659258579,1452797.668049,30552.6994826013,78644.480105,278551.407718218
8,1635.98979940368,5961.76206126869,18782.1350674101,805414.372388,9829.17307242852,25743.01584,147371.439598997
10,1624.34136907626,3592.69257683475,17995.9108683449,537569.710588,5308.08955018044,8282.239668,75942.904371603
12,1620.29418669257,2541.27011012902,17405.217149626,331685.726958,3067.24817644772,4382.421171,37408.6501638784
14,1617.76435507076,2061.98547783934,17026.5103842242,244462.25302,2176.0310621417,2630.155038,23947.9096929522
16,1612.88766226807,1847.6328005854,16665.4583894066,190710.247735,1835.20926034396,1924.460973,11926.0126023101
18,1607.12580124425,1718.59895744134,16345.9623712426,150669.41607,1663.15912616072,1665.858503,7319.91645502661
20,1602.67563363458,1662.95503712121,16038.954139091,97003.123334,1612.76497053787,1600.927883,4418.91120998635
22,1599.32198880017,1627.04484502074,15840.3239542622,68850.170917,1581.31926134618,1574.403127,3564.52281487669
24,1597.54455257708,1607.42523188431,15620.2475281468,50905.716117,1566.3618550721,1559.440784,2788.17327737706
26,1596.01281102768,1595.59135164625,15466.3169132534,37966.947736,1557.96049381821,1551.984487,2390.59872050506
28,1594.4535092195,1587.28581725454,15284.8324025123,29338.78592,1553.98333019356,1546.948409,2031.80242910095
30,1593.52542724847,1582.34424156247,15132.262580753,23367.779869,1549.30118597287,1543.322177,1925.5917324717
32,1593.08242443989,1580.05408482847,14993.1151198615,19241.877457,1546.72040440022,1541.685726,1790.71184210123
34,1592.62789407182,1578.46516401352,14859.4125267217,13857.269541,1544.68727310981,1540.280719,1696.52988604663
36,1592.04398490457,1577.43284160852,14762.6276960156,11081.423279,1542.42115884889,1539.392233,1647.63576426183
38,1591.78539185847,1576.88565702795,14634.1156943951,8569.267852,1541.69583004915,1538.457171,1625.74869561651
40,1591.5799480397,1576.41241899304,14535.1943844941,7093.075112,1540.72930894511,1537.841121,1590.2249041733
42,1591.41653884443,1576.07826603365,14423.8659924107,5381.276124,1540.60893404144,1537.464362,1577.52859093093
44,1591.28654218454,1575.61279640434,14326.7434890177,4234.495405,1539.7039351097,1537.046269,1563.91094421436
46,1591.16034786467,1575.24699694055,14226.9712608879,3771.248612,1538.84683141058,1536.64268,1557.89781069083
48,1591.04639395519,1575.09136573504,14136.9262147403,3208.676379,1538.22907613698,1536.404846,1554.02437858656
50,1590.94989154397,1574.97910321509,14053.9023720079,2663.004418,1538.21874330634,1536.217445,1549.98452360903
52,1590.85440055253,1574.78430058149,13971.7176219581,2343.607162,1538.10963239337,1536.0396,1547.35620059106
54,1590.7690349582,1574.63423455063,13889.3247003271,2159.471116,1537.94333096813,1536.024679,1545.15804026661
56,1590.69991624826,1574.48108423927,13812.1082190772,2031.354585,1537.92304395117,1535.541472,1544.406045306
58,1590.63669537154,1574.21528194015,13744.6890332811,1915.757208,1537.71722468163,1535.505309,1543.62040608134
60,1590.58008576115,1574.10124182205,13671.889434822,1755.796825,1537.60317862992,1535.20565,1542.85382162493
62,1590.52105292916,1573.98458488096,13608.0767252519,1700.011745,1537.53139535152,1535.007656,1541.76799297114
64,1590.4726942006,1573.92799094332,13540.7917779422,1652.164366,1537.5065355374,1534.885036,1541.26205752866
66,1590.43662329078,1573.76535830004,13482.2232802605,1635.906023,1537.44934543676,1534.516792,1540.52820558723
68,1590.39991797017,1573.6299758525,13418.8780930061,1615.46142,1537.24659895298,1534.345003,1540.11034705166
70,1590.36547560804,1573.52570546921,13366.0114318605,1592.56553,1537.24659895298,1534.345003,1539.53460546458
72,1590.32172681406,1573.47544826125,13308.593453861,1582.680369,1537.07582907106,1534.281227,1539.125120118
74,1590.28418346594,1573.42290715835,13259.908630606,1570.960788,1537.05651849772,1534.268743,1538.69116551834
76,1590.24618852303,1573.34099463979,13206.9684086832,1564.244332,1536.90026408473,1534.216651,1538.19963210304
78,1590.21014615398,1573.19310717386,13152.2598226245,1557.912862,1536.90026408473,1534.11787,1538.03567003833
80,1590.17322969088,1573.11013583189,13110.6290721257,1554.957835,1536.81518558558,1533.999143,1537.57364797782
82,1590.14041757608,1573.02078991033,13062.8744749333,1552.010087,1536.56814779203,1533.674104,1537.40967986486
84,1590.11079910094,1572.99137363659,13017.647585383,1549.5013,1536.55465529897,1533.602524,1537.34314259066
86,1590.07661467107,1572.95342895309,12972.0351265703,1546.511119,1536.52923636871,1533.520221,1537.25628529522
88,1590.04931633949,1572.86386930427,12932.0994009883,1544.981149,1536.44403342819,1533.454857,1537.16003265242
90,1590.01674320868,1572.76836557644,12882.2741189257,1543.716558,1536.41434863582,1533.403612,1537.09087667861
92,1589.98732818452,1572.71535673083,12844.4828043929,1541.924718,1536.39377751217,1533.403612,1537.05116963242
94,1589.95793496439,1572.66775017729,12803.6129164004,1541.412464,1536.31413853143,1533.278155,1536.91641478237
96,1589.93331879716,1572.56500370997,12768.7742553981,1540.938725,1536.27353255457,1533.22659,1536.84273239785
98,1589.90820234966,1572.45817801976,12729.4278862177,1540.43706,1536.26416326365,1533.205257,1536.47830999557
100,1589.88079864273,1572.42074020666,12691.355969415,1540.048015,1536.05146346814,1533.091242,1536.32350380057
