# FEs,APMTO,MFEA,MFEA-DGD,AEMTO,MKTDE,OTMTO,BLKT-DE
0,12077688.471378,11191002.9040203,11623396.5666659,13189480.4733524,14572276.3567941,13189480.4733524,11220463.9367195
2,95373.3329231011,131568.407382618,56681.2264007083,3961190.626378,254353.378072474,1872647.509316,1459705.14946853
4,3605.14958925461,28313.8348135207,53144.6935466761,2217068.729599,57805.0356592836,371673.213655,623732.949984889
6,1673.33550640616,10838.0796729619,51920.1027977387,1257192.651021,20955.1294502451,67338.414949,268422.499586233
8,1567.95274192946,4906.15375329541,51451.0014297745,697918.5263,7676.64965761473,21529.645648,120445.945046523
10,1560.60957304465,3034.72271356851,51182.886334304,416799.913671,3692.62907465723,8646.674756,58583.4598165935
12,1557.01951889792,2219.09645807711,51049.2822681397,266401.723167,2307.0751967813,3237.796265,26523.0293035309
14,1555.21641131665,1889.93752332387,50933.8979243562,177507.122212,1857.71464697334,2225.409832,14965.3712792542
16,1554.19183753649,1732.3393940288,50825.4389123602,128734.747622,1678.33950153429,1749.025558,9072.24449258504
18,1553.11588655378,1649.81200448459,50763.4167322557,80944.123658,1608.25878450375,1623.880417,5022.31734421932
20,1551.9416866742,1608.62115127042,50684.092890306,60102.566675,1575.751380406,1584.774639,3365.59394035472
22,1551.26324175599,1592.05574124653,50616.4137618686,44583.875021,1561.66806435826,1559.868365,2737.4833754204
24,1550.02595039798,1583.17933406207,50559.2184742394,29536.463348,1553.53535830961,1551.849912,2183.62423965189
26,1547.49462134689,1577.9711898968,50519.3732755868,22167.383689,1548.4961182899,1546.24573,1920.53898162356
28,1545.49997059903,1575.51341638408,50484.4450393175,16521.254865,1545.67521171484,1543.525488,1784.63149941933
30,1542.90039175696,1573.90973405499,50439.4960764707,13454.763476,1544.18369665597,1542.113573,1688.10204426072
32,1541.32839969735,1572.68757066149,50407.9650671619,9037.176325,1543.3169607233,1540.96448,1644.59614967948
34,1540.02781356218,1571.65393979655,50381.5598616397,7441.745702,1542.27061683684,1539.671057,1606.88205067686
36,1538.03356508897,1570.9652651028,50361.1969016505,5733.201416,1541.10126659784,1538.588168,1582.35535338856
38,1535.60293516606,1570.56470901428,50339.4598278464,4599.356241,1540.34546329773,1537.972616,1572.09054071158
40,1533.94781373429,1570.14525529607,50319.0418640048,3722.680413,1539.60399581928,1537.814919,1561.57183141607
42,1532.33740491895,1569.82786490766,50299.9830837651,3304.818935,1539.11423458825,1537.356212,1553.82596485914
44,1530.87795887402,1569.59708542277,50283.7187960485,2741.703152,1538.83865566366,1536.967106,1550.50282617513
46,1529.83610982694,1569.39862314498,50263.9653583723,2366.472886,1538.80118463588,1536.752685,1548.08533697713
48,1529.22409139931,1569.05914315958,50252.2902715212,2080.23606,1538.30625789198,1536.684934,1545.98921710335
50,1528.63549383683,1568.87848617475,50234.1796119759,1864.946392,1537.98554688667,1536.37405,1545.04565716269
52,1528.32357067991,1568.75635004067,50223.196915414,1748.808748,1537.68342679403,1536.275563,1544.21228767437
54,1528.14587518936,1568.63906158907,50208.7310373256,1693.932913,1537.45834819403,1536.198402,1542.84622497898
56,1527.82483266423,1568.48401246362,50199.0630061798,1648.35366,1537.35845329598,1536.010074,1542.05798104881
58,1527.52811824707,1568.36594925295,50186.3496711468,1616.979086,1537.22864787059,1535.930023,1541.18219636259
60,1527.38012081938,1568.23862368593,50171.882898087,1595.619126,1536.99968652289,1535.51661,1540.41274916314
62,1527.26499860476,1568.09736165734,50167.1539274063,1579.32411,1536.88407167789,1535.411253,1539.98188214859
64,1527.16939808495,1568.02195104116,50156.9760098253,1569.194831,1536.66778172202,1535.300572,1539.10866266085
66,1527.05097724705,1567.94628066764,50149.1713467743,1562.676489,1536.53844981889,1535.260817,1539.04698111453
68,1526.80723600753,1567.81637223021,50138.0052449738,1556.043757,1536.45076401569,1535.101271,1538.88843738499
70,1526.63244605725,1567.75455100979,50132.5731305784,1551.920974,1536.45076401569,1534.861476,1538.60329479671
72,1526.33214775452,1567.71219670995,50124.5004844896,1550.49078,1536.34527197079,1534.585837,1538.10505372014
74,1526.17240155616,1567.62384090835,50116.8964185381,1548.606766,1536.31047144117,1534.439006,1537.99351379678
76,1526.07585178329,1567.49544409514,50111.7101425792,1546.202493,1536.31047144117,1534.434995,1537.802502776
78,1526.00404227801,1567.44440046895,50103.5312140573,1545.175751,1536.13319755874,1534.255389,1537.68483777413
80,1525.94938988107,1567.39461660866,50098.3047644716,1543.926142,1536.0129413145,1534.04889,1537.48131472982
82,1525.90058395793,1567.35203526767,50092.7227389899,1543.116811,1535.84055734565,1533.917826,1537.47339598103
84,1525.85998967251,1567.30432498125,50088.4034489188,1542.494091,1535.8225014498,1533.837728,1537.46545237093
86,1525.74866314574,1567.27743484823,50082.1671048101,1542.039666,1535.79897696845,1533.837728,1537.19098291053
88,1525.71104233865,1567.21380579136,50077.628915986,1541.509604,1535.71100405724,1533.768491,1537.08451012547
90,1525.68044106794,1567.13401813747,50071.664726966,1541.090983,1535.64403619192,1533.682006,1536.76987799261
92,1525.65118719083,1567.04550429985,50066.5048979365,1540.608861,1535.64403619192,1533.617972,1536.76728448353
94,1525.62124020073,1566.97027925464,50061.9029577423,1540.343139,1535.64403619192,1533.523337,1536.71824848058
96,1525.59624092002,1566.91133585478,50059.2337282928,1539.958589,1535.64403619192,1533.523337,1536.68760765337
98,1525.56984700413,1566.83759474982,50054.8850659114,1539.712224,1535.61442389557,1533.475872,1536.62719793347
100,1525.51105369614,1566.71202331248,50052.0193060332,1539.308456,1535.56188917372,1533.424359,1536.53478574208
